year,month,day,rent_office_number,age,time
2022,8,1,112,~10,59
2022,8,1,145,~10,8
2022,8,1,487,~10,9
2022,8,1,488,~10,104
2022,8,1,489,~10,2
2022,8,1,490,~10,12
2022,8,1,3010,~10,10
2022,8,1,3011,~10,32
2022,8,1,121,~10,5
2022,8,1,4212,~10,21
2022,8,1,125,~10,14
2022,8,1,4217,~10,28
2022,8,1,4220,~10,8
2022,8,1,4224,~10,5
2022,8,1,4226,~10,13
2022,8,1,4222,~10,7
2022,8,1,199,~10,24
2022,8,1,401,~10,15
2022,8,1,402,~10,16
2022,8,1,107,~10,56
2022,8,1,414,~10,9
2022,8,1,416,~10,12
2022,8,1,108,20,95
2022,8,1,109,20,53
2022,8,1,400,20,37
2022,8,1,432,20,26
2022,8,1,112,20,161
2022,8,1,436,20,29
2022,8,1,437,20,32
2022,8,1,438,20,34
2022,8,1,113,20,149
2022,8,1,118,20,15
2022,8,1,114,20,287
2022,8,1,142,20,8
2022,8,1,143,20,122
2022,8,1,144,20,138
2022,8,1,145,20,38
2022,8,1,146,20,47
2022,8,1,147,20,157
2022,8,1,148,20,29
2022,8,1,150,20,26
2022,8,1,119,20,190
2022,8,1,153,20,125
2022,8,1,153,20,8
2022,8,1,154,20,80
2022,8,1,155,20,25
2022,8,1,156,20,8
2022,8,1,157,20,41
2022,8,1,157,20,3
2022,8,1,487,20,131
2022,8,1,488,20,44
2022,8,1,489,20,4
2022,8,1,490,20,77
2022,8,1,491,20,58
2022,8,1,492,20,9
2022,8,1,493,20,54
2022,8,1,494,20,15
2022,8,1,495,20,26
2022,8,1,497,20,131
2022,8,1,498,20,155
2022,8,1,3002,20,121
2022,8,1,3005,20,6
2022,8,1,3006,20,51
2022,8,1,3007,20,86
2022,8,1,3008,20,17
2022,8,1,3009,20,166
2022,8,1,3010,20,163
2022,8,1,3011,20,31
2022,8,1,121,20,75
2022,8,1,122,20,12
2022,8,1,4202,20,59
2022,8,1,4206,20,27
2022,8,1,4207,20,28
2022,8,1,4207,20,21
2022,8,1,4208,20,103
2022,8,1,4208,20,9
2022,8,1,4210,20,94
2022,8,1,4212,20,60
2022,8,1,4213,20,51
2022,8,1,4214,20,62
2022,8,1,124,20,137
2022,8,1,124,20,55
2022,8,1,125,20,145
2022,8,1,126,20,23
2022,8,1,4216,20,40
2022,8,1,127,20,6
2022,8,1,127,20,49
2022,8,1,4217,20,437
2022,8,1,4218,20,60
2022,8,1,4218,20,9
2022,8,1,4220,20,182
2022,8,1,4224,20,26
2022,8,1,4224,20,30
2022,8,1,4226,20,34
2022,8,1,4233,20,148
2022,8,1,4238,20,25
2022,8,1,4222,20,38
2022,8,1,4244,20,51
2022,8,1,4246,20,16
2022,8,1,4247,20,18
2022,8,1,4251,20,33
2022,8,1,129,20,10
2022,8,1,130,20,106
2022,8,1,181,20,159
2022,8,1,183,20,40
2022,8,1,184,20,119
2022,8,1,185,20,49
2022,8,1,102,20,249
2022,8,1,102,20,5
2022,8,1,199,20,21
2022,8,1,103,20,133
2022,8,1,104,20,11
2022,8,1,105,20,67
2022,8,1,401,20,5
2022,8,1,401,20,9
2022,8,1,402,20,5
2022,8,1,403,20,6
2022,8,1,106,20,144
2022,8,1,106,20,7
2022,8,1,405,20,2
2022,8,1,406,20,13
2022,8,1,421,20,79
2022,8,1,421,20,2
2022,8,1,407,20,11
2022,8,1,408,20,16
2022,8,1,409,20,112
2022,8,1,419,20,65
2022,8,1,418,20,65
2022,8,1,107,20,107
2022,8,1,107,20,8
2022,8,1,411,20,108
2022,8,1,412,20,66
2022,8,1,413,20,8
2022,8,1,417,20,93
2022,8,1,414,20,143
2022,8,1,414,20,19
2022,8,1,415,20,107
2022,8,1,415,20,19
2022,8,1,416,20,15
2022,8,1,422,20,36
2022,8,1,424,20,19
2022,8,1,426,20,2
2022,8,1,108,30,154
2022,8,1,109,30,47
2022,8,1,400,30,12
2022,8,1,427,30,8
2022,8,1,111,30,62
2022,8,1,112,30,63
2022,8,1,436,30,6
2022,8,1,437,30,35
